Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
Admission_Predict_kaggle,Cobra,5,"{'epsilon': 0.16705574921068944, 'machine_list': 'basic')",0.011511665,0.078256376,0.063191943,0.808098627,0.810471032,98.4382553,12.54228046
Admission_Predict_kaggle,Ewa,5,"{'beta': 0.001, 'machine_list': 'basic')",0.008927764,0.070785164,0.052073263,0.85117269,0.868163181,7.814553355,0.019242937
Admission_Predict_kaggle,AdaBoost,6,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.014072253,0.102138974,0.091003401,0.577143222,0.736431363,2.071835207,0.009289823
Admission_Predict_kaggle,Boruta,6,"{'ccp_alpha': 0.0022957721372982554, 'n_estimators': 19}",0.011862827,0.084149252,0.07816821,0.643534218,0.655129898,78.64741902,0.002398868
Admission_Predict_kaggle,Cobra,6,"{'epsilon': 0.16901280627609722, 'machine_list': 'basic')",0.006967774,0.064715991,0.056921818,0.790625544,0.790787167,98.25705033,12.51752774
Admission_Predict_kaggle,Ewa,6,"{'beta': 0.001, 'machine_list': 'basic')",0.011058612,0.08216956,0.06167486,0.66770005,0.733083784,7.811716738,0.018795293
Admission_Predict_kaggle,AdaBoost,7,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.015632326,0.103099789,0.092846662,0.675290379,0.744180335,2.211145743,0.009765427
Admission_Predict_kaggle,Boruta,7,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.012133405,0.087588756,0.07129842,0.747968836,0.755027049,78.65254747,0.002271444
Admission_Predict_kaggle,Cobra,7,"{'epsilon': 0.10691720508611227, 'machine_list': 'basic')",0.011580549,0.073498411,0.041152263,0.75945258,0.762000443,99.16500975,12.73975991
Admission_Predict_kaggle,Ewa,7,"{'beta': 0.001, 'machine_list': 'basic')",0.012515101,0.080701614,0.057128426,0.740040377,0.757974268,7.821021777,0.019223729
Admission_Predict_kaggle,AdaBoost,8,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.01922756,0.109213647,0.078161455,0.707674978,0.721221475,2.157874174,0.009144315
Admission_Predict_kaggle,Boruta,8,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.019064135,0.108209367,0.0838774,0.710159606,0.711852077,78.64611243,0.002270615
Admission_Predict_kaggle,Cobra,8,"{'epsilon': 0.21479270652738228, 'machine_list': 'basic')",0.019988546,0.101854511,0.069107517,0.696105379,0.700805818,98.30280541,12.56076887
Admission_Predict_kaggle,Ewa,8,"{'beta': 0.001, 'machine_list': 'basic')",0.017673547,0.094359555,0.055027134,0.731301329,0.7338297,7.81550121,0.019199701
Admission_Predict_kaggle,AdaBoost,9,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.014036643,0.094684625,0.095634921,0.590460609,0.669762557,2.120295615,0.009494371
Admission_Predict_kaggle,Boruta,9,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.010368605,0.077839887,0.068563814,0.697480931,0.697920563,78.63697827,0.001525451
Admission_Predict_kaggle,Cobra,9,"{'epsilon': 0.16780265151881893, 'machine_list': 'basic')",0.013293552,0.0859838,0.072709235,0.612141372,0.61720987,98.3779972,12.54456364
Admission_Predict_kaggle,Ewa,9,"{'beta': 0.001, 'machine_list': 'basic')",0.014749658,0.090203441,0.058977188,0.569657362,0.59419319,7.808023215,0.018382721
Admission_Predict_kaggle,AdaBoost,10,"{'base_estimator__ccp_alpha': 0.00983468338330501, 'n_estimators': 8}",0.01550676,0.10468635,0.090407177,0.524222119,0.619740518,2.096571495,0.001451596
Admission_Predict_kaggle,Boruta,10,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.011488084,0.072272665,0.041847836,0.647523002,0.663903083,78.63845335,0.001541013
Admission_Predict_kaggle,Cobra,10,"{'epsilon': 0.16887309873969492, 'machine_list': 'basic')",0.005764573,0.054606983,0.043888098,0.823131566,0.828981538,98.43510086,12.55943955
Admission_Predict_kaggle,Ewa,10,"{'beta': 0.001, 'machine_list': 'basic')",0.009467673,0.07609959,0.055007001,0.709513171,0.765418156,7.803701979,0.019138145
airfoil_self_noise_uci,AdaBoost,1,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.009237557,0.078802279,0.073888743,0.668444502,0.66878057,4.24124008,0.009169526
airfoil_self_noise_uci,Boruta,1,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.021116303,0.119106007,0.106368645,0.242091171,0.246088595,57.31833035,0.001536652
